cudagraph_mode,batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,1025,2250584,1088,1.5233,68,168.66795833333333,256.93190092916666,100.0,47.0
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,1026,2250534,1088,1.5238,68,168.80525,257.22543995,100.0,47.0
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,1027,2250635,1088,1.5238,68,168.871625,257.326582175,100.0,47.0
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,0,3327743,32,2.317,2,266.3037777777778,617.0258531111111,100.0,17.11111111111111
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,1024,3066235,1456,1.755,91,193.2082222222222,339.0804299999999,100.0,54.0
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,1025,3067022,1456,1.7559,91,193.07633333333328,339.0227336999999,100.0,54.0
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,1026,3068269,1456,1.756,91,193.06755555555557,339.0266275555556,100.0,54.0
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,1027,3068460,1456,1.7563,91,193.29507407407405,339.48413859629625,100.0,54.0
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,0,4554046,48,2.8077,3,346.150511627907,971.8867914976745,100.0,21.0
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,1024,3932513,1808,1.7719,113,237.1126206896552,420.13985260000004,100.0,67.0
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,1025,401983,1808,1.7725,113,237.10489285714283,420.26842258928565,100.0,67.0
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,1026,3958447,1808,1.773,113,237.18558620689657,420.5300443448276,100.0,67.0
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,1027,3959927,1808,1.773,113,236.90062962962963,420.0248163333333,100.0,67.0
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,0,1012567,48,2.3732,3,424.47318918918916,1007.3597725837838,100.0,24.756756756756758
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,1024,502179,2160,1.8159,135,280.19599999999997,508.80791639999995,100.0,78.0
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,1025,502344,2160,1.8165,135,280.1133666666666,508.82593054999984,100.0,78.0
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,1026,530448,2160,1.8162,135,279.7176,508.02310512,100.0,78.0
