cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,gpu_util_pct
FULL,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,100.0
NONE,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,100.0
FULL,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,100.0
NONE,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,100.0
FULL,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,100.0
NONE,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,100.0
FULL,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,100.0
NONE,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,100.0
FULL,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,100.0
NONE,16,1830,2048,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,100.0
FULL,16,1830,2048,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,100.0
NONE,16,1530,2048,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,100.0
FULL,16,1530,2048,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,100.0
NONE,16,1230,2048,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,100.0
FULL,16,1230,2048,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,100.0
NONE,16,930,2048,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,100.0
FULL,16,930,2048,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,100.0
NONE,16,2430,1024,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,100.0
FULL,16,2430,1024,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,100.0
NONE,16,2130,1024,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,100.0
FULL,16,2130,1024,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,100.0
