sm_clock,kv_group,kv_cache_lens,graph_mode,batch_size,avg_power,avg_total_energy_delta,avg_print_index,points
1320,1024,1041,seg,16,222.35907692307694,532289.0,18.0,13
1320,1024,1042,mani,1,223.42554545454547,445546.0,16.0,11
1320,1024,1042,mani,2,209.81025,462139.0,16.5,12
1320,1024,1042,mani,3,212.78272727272727,466916.0,16.0,11
1320,1024,1042,mani,4,212.12391666666667,466107.0,16.5,12
1320,1024,1042,mani,5,212.03583333333333,486624.0,16.5,12
1320,1024,1042,mani,6,210.6725,482872.0,17.5,12
1320,1024,1042,mani,7,212.83333333333334,467091.0,16.5,12
1320,1024,1042,mani,8,214.99341666666666,493233.0,17.5,12
1320,1024,1042,mani,9,213.91558333333333,490153.0,17.5,12
1320,1024,1042,mani,10,216.22533333333334,494756.0,17.5,12
1320,1024,1042,mani,11,218.07225000000003,521340.0,17.5,12
1320,1024,1042,mani,12,220.4283333333333,527701.0,17.5,12
1320,1024,1042,mani,13,222.83525,511128.0,17.5,12
1320,1024,1042,mani,14,223.47446153846155,534258.0,18.0,13
1320,1024,1042,mani,15,223.47930769230769,557733.0,18.0,13
1320,1024,1042,mani,16,223.5370769230769,534267.0,18.0,13
1320,1024,1042,seg,1,221.84654545454543,442396.0,15.0,11
1320,1024,1042,seg,2,208.78608333333332,457944.0,16.5,12
1320,1024,1042,seg,3,211.03425000000001,462966.0,16.5,12
1320,1024,1042,seg,4,210.43758333333335,461142.0,16.5,12
1320,1024,1042,seg,5,214.58283333333335,470230.0,16.5,12
1320,1024,1042,seg,6,212.58275,487110.0,17.5,12
1320,1024,1042,seg,7,213.95266666666666,470206.0,16.5,12
1320,1024,1042,seg,8,215.31866666666667,493568.0,17.5,12
1320,1024,1042,seg,9,219.82541666666665,525388.0,17.5,12
1320,1024,1042,seg,10,220.4851666666667,505408.0,17.5,12
1320,1024,1042,seg,11,221.40166666666667,529971.0,17.5,12
1320,1024,1042,seg,12,222.2193846153846,531133.0,18.0,13
1320,1024,1042,seg,13,222.6053846153846,532997.0,18.0,13
1320,1024,1042,seg,14,222.7279166666667,533423.0,17.5,12
1320,1024,1042,seg,15,222.48792307692307,532893.0,18.0,13
1320,1024,1042,seg,16,222.53769230769228,554324.0,18.0,13
1320,1024,1043,mani,1,221.87954545454548,446167.0,15.0,11
1320,1024,1043,mani,2,210.624,462139.0,16.0,11
1320,1024,1043,mani,3,213.14291666666668,467570.0,16.5,12
1320,1024,1043,mani,4,211.71933333333334,466107.0,16.5,12
