batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
16,2130,8192,mlp,8221,654830,4320,2.0809,270,312.43199999999996,650.1397488,100.0,90.0
16,2130,8192,mlp,8222,654608,4320,2.0808,270,312.4815454545455,650.2115997818182,100.0,90.0
16,2130,8192,mlp,8223,654585,4320,2.081,270,312.2650909090909,649.8236541818181,100.0,90.0
16,2130,8192,mlp,8224,623819,4320,2.0809,270,312.54136363636354,650.367323590909,100.0,90.0
16,2130,8192,mlp,8225,623698,4320,2.0808,270,312.4027272727273,650.047594909091,100.0,90.0
16,2130,8192,mlp,8226,623947,4320,2.0807,270,312.60690909090914,650.4411957454547,100.0,90.0
16,2130,8192,mlp,8227,624333,4320,2.0809,270,312.3878181818182,650.0478108545456,100.0,90.0
16,2130,8192,mlp,8228,624107,4320,2.0809,270,312.48745454545445,650.2551441636363,100.0,90.0
16,2130,8192,mlp,8229,624175,4320,2.0808,270,312.2490909090909,649.7279083636364,100.0,90.0
16,2130,8192,mlp,8230,655031,4320,2.0808,270,311.9440909090909,649.0932643636363,100.0,90.0
16,2130,8192,mlp,8231,654394,4320,2.0809,270,311.73309090909083,648.6853888727272,100.0,90.0
16,2130,8192,mlp,8232,654846,4320,2.0809,270,312.2406363636363,649.7415402090909,100.0,90.0
16,2130,8192,mlp,8233,655036,4320,2.0808,270,312.2793636363636,649.7908998545454,100.0,90.0
16,2130,8192,mlp,8234,655045,4320,2.0808,270,312.244,649.7173152,100.0,90.0
16,2130,8192,mlp,8235,655072,4320,2.0807,270,312.2382727272727,649.6741740636364,100.0,90.0
16,2130,8192,mlp,8236,655113,4320,2.0807,270,312.37363636363636,649.9558251818182,100.0,90.0
16,2130,8192,mlp,8237,655441,4320,2.0808,270,312.3737272727273,649.987251709091,100.0,90.0
16,2130,8192,mlp,8238,655576,4320,2.0808,270,312.38981818181816,650.0207336727273,100.0,90.0
16,2422,8192,mlp,8210,776359,4320,2.0597,270,370.35545454545456,762.8211297272727,100.0,90.63636363636364
16,2422,8192,mlp,8211,740030,4320,2.0598,270,370.61181818181825,763.3862230909093,100.0,90.81818181818181
16,2422,8192,mlp,8212,777880,4320,2.0598,270,370.91872727272727,764.0183944363637,100.0,90.72727272727273
16,2422,8192,mlp,8213,777951,4320,2.0598,270,371.11672727272725,764.4262348363636,100.0,90.9090909090909
16,2422,8192,mlp,8214,741577,4320,2.0597,270,371.53054545454546,765.2414644727272,100.0,91.0
16,2422,8192,mlp,8215,742281,4320,2.0598,270,371.70354545454546,765.6349629272728,100.0,90.81818181818181
16,2422,8192,mlp,8216,779121,4320,2.0598,270,371.854,765.9448692,100.0,91.0
16,2422,8192,mlp,8217,780084,4320,2.0598,270,372.0769090909091,766.4040173454546,100.0,91.0
16,2422,8192,mlp,8218,743459,4320,2.0597,270,372.32172727272734,766.8710616636365,100.0,91.0
16,2422,8192,mlp,8219,779779,4320,2.0598,270,370.92081818181816,764.022701290909,100.0,91.0
16,2422,8192,mlp,8220,780469,4320,2.0599,270,372.2022727272727,766.699461590909,100.0,91.0
16,2422,8192,mlp,8221,781018,4320,2.0598,270,372.5216363636364,767.3200665818183,100.0,91.0
16,2422,8192,mlp,8222,744249,4320,2.0597,270,372.58390909090906,767.4110775545454,100.0,91.0
16,2422,8192,mlp,8223,781280,4320,2.0599,270,372.41081818181823,767.1290443727273,100.0,90.81818181818181
16,2422,8192,mlp,8224,781848,4320,2.0598,270,372.7571818181818,767.8052431090908,100.0,90.72727272727273
16,2422,8192,mlp,8225,781381,4320,2.0597,270,372.8755454545455,768.0117609727273,100.0,91.0
16,2422,8192,mlp,8226,744666,4320,2.0597,270,372.94290909090904,768.1505098545452,100.0,90.9090909090909
16,2422,8192,mlp,8227,782626,4320,2.0597,270,372.89336363636363,768.0484610818181,100.0,90.81818181818181
16,2422,8192,mlp,8228,781759,4320,2.0597,270,373.1960000000001,768.6718012000001,100.0,91.0
16,2422,8192,mlp,8229,745257,4320,2.0598,270,373.34172727272727,769.0092898363637,100.0,91.0
16,2422,8192,mlp,8230,745435,4320,2.0597,270,373.29372727272727,768.8730900636363,100.0,91.0
16,2422,8192,mlp,8231,783122,4320,2.0598,270,373.3545454545454,769.0356927272727,100.0,90.81818181818181
16,2422,8192,mlp,8232,783202,4320,2.0597,270,373.4948181818181,769.2872770090908,100.0,91.0
16,2422,8192,mlp,8233,746059,4320,2.0597,270,373.61709090909096,769.5391221454546,100.0,91.0
16,2422,8192,mlp,8234,746185,4320,2.0597,270,371.891,765.9838927,100.0,90.9090909090909
16,2422,8192,mlp,8235,783355,4320,2.0598,270,373.7289090909091,769.8068069454546,100.0,91.0
16,2422,8192,mlp,8236,783670,4320,2.0598,270,373.651,769.6463298000001,100.0,91.0
16,2422,8192,mlp,8237,746707,4320,2.0597,270,373.8801818181818,770.0810104909091,100.0,91.0
16,2422,8192,mlp,8238,783474,4320,2.0598,270,373.2597272727273,768.8403862363637,100.0,91.0
16,630,128,mlp,130,438099,2880,2.5066,180,175.61284615384616,440.19116016923084,100.0,50.0
16,630,128,mlp,131,437514,2880,2.5076,180,175.23716666666667,439.4247191333333,100.0,50.0
16,630,128,mlp,132,437014,2880,2.5064,180,175.04500000000004,438.73278800000014,100.0,50.0
16,630,128,mlp,133,436338,2880,2.5062,180,174.92007692307686,438.38469678461524,100.0,50.0
16,630,128,mlp,134,436441,2880,2.5058,180,174.89392307692307,438.2491924461538,100.0,50.0
16,630,128,mlp,135,435817,2880,2.5059,180,174.7552307692308,437.91913278461544,100.0,50.0
16,630,128,mlp,136,452773,2880,2.5062,180,174.55508333333339,437.46994985000015,100.0,50.0
16,630,128,mlp,137,435087,2880,2.5063,180,174.3324615384615,436.92944835384606,100.0,50.0
16,630,128,mlp,138,434772,2880,2.5054,180,174.09208333333336,436.1703055833334,100.0,50.0
16,630,128,mlp,139,451719,2880,2.5062,180,174.17476923076927,436.516806646154,100.0,50.0
16,630,128,mlp,140,434528,2880,2.5063,180,174.0329230769231,436.17871510769237,100.0,50.0
16,630,128,mlp,141,433620,2880,2.5065,180,173.79553846153846,435.61851715384614,100.0,50.0
16,630,128,mlp,142,434033,2880,2.5067,180,173.93061538461538,435.99187358461535,100.0,50.0
16,630,128,mlp,143,433261,2880,2.5064,180,173.67849999999999,435.3077924,100.0,50.0
16,630,128,mlp,144,433349,2880,2.5067,180,173.70015384615388,435.4141756461539,100.0,50.0
16,630,128,mlp,145,433272,2880,2.507,180,173.67425,435.40134475,100.0,50.0
16,630,128,mlp,146,433233,2880,2.5056,180,173.6850769230769,435.18532873846146,100.0,50.0
16,630,128,mlp,147,432901,2880,2.5056,180,173.54315384615387,434.8297262769231,100.0,50.0
16,630,128,mlp,148,432840,2880,2.5061,180,173.3946153846154,434.5442456153847,100.0,50.0
16,630,128,mlp,149,449760,2880,2.506,180,173.48799999999997,434.76092799999986,100.0,50.0
16,630,128,mlp,150,448035,2880,2.5339,180,172.54953846153845,437.2232755076923,100.0,50.0
16,630,128,mlp,151,448022,2880,2.5335,180,172.54607692307692,437.1454858846154,100.0,50.0
16,630,128,mlp,152,447927,2880,2.5336,180,172.59446153846153,437.2853277538461,100.0,50.0
16,630,128,mlp,153,447827,2880,2.5339,180,172.47830769230768,437.04278386153845,100.0,50.0
16,630,128,mlp,154,447713,2880,2.5345,180,172.46092307692308,437.1022095384615,100.0,50.0
16,630,128,mlp,155,447688,2880,2.534,180,172.36930769230773,436.78382569230774,100.0,50.0
16,630,128,mlp,156,447569,2880,2.5337,180,172.37653846153847,436.75043550000004,100.0,50.0
16,630,128,mlp,157,447520,2880,2.5342,180,172.26230769230767,436.54714015384604,100.0,50.0
16,630,128,mlp,158,447543,2880,2.5334,180,172.3526923076923,436.6383106923077,100.0,50.0
16,630,128,mlp,159,447354,2880,2.5336,180,172.37946153846153,436.7406037538461,100.0,50.0
16,630,128,mlp,160,447410,2880,2.5331,180,172.3376153846154,436.54841353076927,100.0,50.0
16,630,128,mlp,161,447303,2880,2.5328,180,172.30546153846154,436.4152729846154,100.0,50.0
16,630,128,mlp,162,430199,2880,2.5324,180,172.32892307692308,436.4057648,100.0,50.0
16,630,128,mlp,163,446962,2880,2.5332,180,172.24638461538464,436.33454150769234,100.0,50.0
16,630,128,mlp,164,447165,2880,2.5336,180,172.31661538461537,436.5813767384615,100.0,50.0
16,630,128,mlp,165,447195,2880,2.5341,180,172.2033076923077,436.38040202307695,100.0,50.0
16,630,128,mlp,166,447108,2880,2.5341,180,172.27830769230772,436.570459523077,100.0,50.0
16,630,128,mlp,167,446926,2880,2.5335,180,172.215,436.30670250000003,100.0,50.0
16,630,128,mlp,168,446956,2880,2.533,180,172.2166923076923,436.2248816153846,100.0,50.0
