cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count
FULL,,16,16,2.7025,16,26,,,,,1773199529.7365701,227.092,61,1320,1320,9001,45402.0625,46068.0,100,100,14361109539232,1773199529725786,0,,0,0,24664322428,,8194,llama,all,60
FULL,,16,16,2.7025,17,26,,,,,1773199529.8448842,227.21,61,1320,1320,9001,45402.0625,46068.0,100,100,14361221799072,1773199529838046,0,,0,0,24664345134,,8194,llama,all,60
FULL,,16,16,2.7025,18,26,,,,,1773199529.9552364,227.174,61,1320,1320,9001,45402.0625,46068.0,100,100,14361330305504,1773199529946553,0,,0,0,24664367854,,8194,llama,all,60
FULL,,16,16,2.7025,19,26,,,,,1773199530.0640094,227.117,61,1320,1320,9001,45402.0625,46068.0,100,100,14361440479904,1773199530056727,0,,0,0,24664390546,,8194,llama,all,60
FULL,,16,16,2.7025,20,26,,,,,1773199530.1747916,227.218,61,1320,1320,9001,45402.0625,46068.0,100,100,14361549455584,1773199530165703,0,,0,0,24664413233,,8194,llama,all,60
FULL,,16,16,2.7025,21,26,,,,,1773199530.2832518,227.249,61,1320,1320,9001,45402.0625,46068.0,100,100,14361660125280,1773199530276373,0,,0,0,24664435950,,8194,llama,all,60
FULL,,16,16,2.7025,22,26,,,,,1773199530.3944964,227.272,61,1320,1320,9001,45402.0625,46068.0,100,100,14361768431392,1773199530384679,0,,0,0,24664458652,,8194,llama,all,60
FULL,,16,16,2.7025,23,26,,,,,1773199530.5026045,227.205,61,1320,1320,9001,45402.0625,46068.0,100,100,14361879518368,1773199530495767,0,,0,0,24664481360,,8194,llama,all,60
FULL,,16,16,2.7025,24,26,,,,,1773199530.6149065,227.354,61,1320,1320,9001,45402.0625,46068.0,100,100,14361987886048,1773199530604134,0,,0,0,24664526835,,8194,llama,all,60
FULL,,16,16,2.7025,25,26,,,,,1773199530.723367,227.407,61,1320,1320,9001,45402.0625,46068.0,100,100,14362100413056,1773199530716662,0,,0,0,24664549543,,8194,llama,all,60
FULL,,16,16,2.7025,26,26,,,,,1773199530.7829163,227.354,61,1320,1320,9001,45402.0625,46068.0,100,100,14362163212192,1773199530779461,0,,0,0,24664549543,,8194,llama,all,60
FULL,,16,16,2.7024,1,27,,,,,1773199530.7945719,227.354,61,1320,1320,9001,45402.0625,46068.0,100,100,14362169633728,1773199530785882,0,,0,0,24664549543,,8195,llama,all,60
FULL,,16,16,2.7024,2,27,,,,,1773199530.8362365,227.354,61,1320,1320,9001,45402.0625,46068.0,100,100,14362208616800,1773199530824865,0,,0,0,24664570500,,8195,llama,all,60
FULL,,16,16,2.7024,3,27,,,,,1773199530.9456246,222.457,61,1320,1320,9001,45402.0625,46068.0,86,100,14362321371968,1773199530937621,0,,0,0,24664592717,,8195,llama,all,60
FULL,,16,16,2.7024,4,27,,,,,1773199531.0546238,222.35,61,1320,1320,9001,45402.0625,46068.0,100,100,14362430499168,1773199531046748,0,,0,0,24664615463,,8195,llama,all,60
FULL,,16,16,2.7024,5,27,,,,,1773199531.1637921,222.372,61,1320,1320,9001,45402.0625,46068.0,100,100,14362539827200,1773199531156076,0,,0,0,24664638162,,8195,llama,all,60
FULL,,16,16,2.7024,6,27,,,,,1773199531.275855,222.461,61,1320,1320,9001,45402.0625,46068.0,100,100,14362648597088,1773199531264846,0,,0,0,24664660899,,8195,llama,all,60
FULL,,16,16,2.7024,7,27,,,,,1773199531.3840904,222.541,61,1320,1320,9001,45402.0625,46068.0,100,100,14362761096736,1773199531377346,0,,0,0,24664683614,,8195,llama,all,60
FULL,,16,16,2.7024,8,27,,,,,1773199531.4949112,222.541,61,1320,1320,9001,45402.0625,46068.0,100,100,14362869570272,1773199531485820,0,,0,0,24664706308,,8195,llama,all,60
FULL,,16,16,2.7024,9,27,,,,,1773199531.603493,222.594,61,1320,1320,9001,45402.0625,46068.0,100,100,14362980128832,1773199531596379,0,,0,0,24664751706,,8195,llama,all,60
FULL,,16,16,2.7024,10,27,,,,,1773199531.714124,222.009,61,1320,1320,9001,45402.0625,46068.0,100,100,14363088965632,1773199531705215,0,,0,0,24664774430,,8195,llama,all,60
FULL,,16,16,2.7024,11,27,,,,,1773199531.8221169,222.554,61,1320,1320,9001,45402.0625,46068.0,100,100,14363199358464,1773199531815608,0,,0,0,24664797139,,8195,llama,all,60
FULL,,16,16,2.7024,12,27,,,,,1773199531.93454,222.554,61,1320,1320,9001,45402.0625,46068.0,100,100,14363307241856,1773199531923492,0,,0,0,24664819847,,8195,llama,all,60
FULL,,16,16,2.7024,13,27,,,,,1773199532.0430667,227.283,61,1320,1320,9001,45402.0625,46068.0,100,100,14363419578464,1773199532035829,0,,0,0,24664842586,,8195,llama,all,60
FULL,,16,16,2.7024,14,27,,,,,1773199532.1541746,227.39,61,1320,1320,9001,45402.0625,46068.0,100,100,14363528243744,1773199532144494,0,,0,0,24664865278,,8195,llama,all,60
FULL,,16,16,2.7024,15,27,,,,,1773199532.2629466,227.39,61,1320,1320,9001,45402.0625,46068.0,100,100,14363639392864,1773199532255643,0,,0,0,24664887989,,8195,llama,all,60
FULL,,16,16,2.7024,16,27,,,,,1773199532.373973,227.333,61,1320,1320,9001,45402.0625,46068.0,100,100,14363748482208,1773199532364733,0,,0,0,24664910695,,8195,llama,all,60
FULL,,16,16,2.7024,17,27,,,,,1773199532.4820476,227.191,61,1320,1320,9001,45402.0625,46068.0,100,100,14363859262016,1773199532475513,0,,0,0,24664933426,,8195,llama,all,60
