cudagraph_mode,batch_size,sm_clock,input_len,model_name,gpu_util_pct
FULL,16,930,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,8,930,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,512,1230,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,256,1230,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,128,1230,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,64,1230,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,16,1230,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,8,1230,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,512,1530,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,256,1522,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,128,1522,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,64,1530,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,16,1530,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,8,1530,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,512,1815,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,256,1815,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,128,1815,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,64,1822,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,16,1830,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,8,1830,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,512,2107,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,512,2115,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,256,2107,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,128,2115,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,128,2122,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,64,2122,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,16,2130,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,8,2130,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,512,2407,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,256,2407,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,128,2415,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,64,2422,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,16,2422,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,8,2422,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,8,2287,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,8,2295,256,nvidia/Qwen3-8B-NVFP4,100.0
FULL,512,330,256,nvidia/Qwen3-8B-FP8,100.0
FULL,256,330,256,nvidia/Qwen3-8B-FP8,100.0
FULL,128,330,256,nvidia/Qwen3-8B-FP8,100.0
FULL,64,330,256,nvidia/Qwen3-8B-FP8,100.0
FULL,16,330,256,nvidia/Qwen3-8B-FP8,100.0
FULL,8,330,256,nvidia/Qwen3-8B-FP8,100.0
FULL,512,630,256,nvidia/Qwen3-8B-FP8,100.0
FULL,256,630,256,nvidia/Qwen3-8B-FP8,100.0
FULL,128,630,256,nvidia/Qwen3-8B-FP8,100.0
FULL,64,630,256,nvidia/Qwen3-8B-FP8,100.0
FULL,16,630,256,nvidia/Qwen3-8B-FP8,100.0
FULL,8,630,256,nvidia/Qwen3-8B-FP8,100.0
FULL,512,930,256,nvidia/Qwen3-8B-FP8,100.0
FULL,256,922,256,nvidia/Qwen3-8B-FP8,100.0
FULL,128,900,256,nvidia/Qwen3-8B-FP8,100.0
FULL,128,907,256,nvidia/Qwen3-8B-FP8,100.0
FULL,64,922,256,nvidia/Qwen3-8B-FP8,100.0
FULL,64,930,256,nvidia/Qwen3-8B-FP8,100.0
FULL,16,922,256,nvidia/Qwen3-8B-FP8,100.0
FULL,16,930,256,nvidia/Qwen3-8B-FP8,100.0
FULL,8,922,256,nvidia/Qwen3-8B-FP8,100.0
FULL,8,930,256,nvidia/Qwen3-8B-FP8,100.0
FULL,512,1230,256,nvidia/Qwen3-8B-FP8,100.0
FULL,256,1230,256,nvidia/Qwen3-8B-FP8,100.0
FULL,128,1230,256,nvidia/Qwen3-8B-FP8,100.0
FULL,64,1230,256,nvidia/Qwen3-8B-FP8,100.0
FULL,16,1230,256,nvidia/Qwen3-8B-FP8,100.0
FULL,8,1230,256,nvidia/Qwen3-8B-FP8,100.0
FULL,512,1530,256,nvidia/Qwen3-8B-FP8,100.0
FULL,256,1515,256,nvidia/Qwen3-8B-FP8,100.0
FULL,128,1522,256,nvidia/Qwen3-8B-FP8,100.0
FULL,64,1530,256,nvidia/Qwen3-8B-FP8,100.0
FULL,16,1530,256,nvidia/Qwen3-8B-FP8,100.0
FULL,8,1530,256,nvidia/Qwen3-8B-FP8,100.0
FULL,512,1815,256,nvidia/Qwen3-8B-FP8,100.0
FULL,256,1792,256,nvidia/Qwen3-8B-FP8,100.0
FULL,128,1807,256,nvidia/Qwen3-8B-FP8,100.0
FULL,64,1830,256,nvidia/Qwen3-8B-FP8,100.0
FULL,16,1830,256,nvidia/Qwen3-8B-FP8,100.0
FULL,8,1830,256,nvidia/Qwen3-8B-FP8,100.0
FULL,512,2092,256,nvidia/Qwen3-8B-FP8,100.0
FULL,256,2070,256,nvidia/Qwen3-8B-FP8,100.0
FULL,128,2115,256,nvidia/Qwen3-8B-FP8,100.0
FULL,64,2130,256,nvidia/Qwen3-8B-FP8,100.0
FULL,16,2130,256,nvidia/Qwen3-8B-FP8,100.0
