cudagraph_mode,batch_size,sm_clock,input_len,model_name,memory_util_pct
FULL,128,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,38.33154442456768
FULL,64,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,41.753378960055095
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,45.0
FULL,8,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,45.0
FULL,512,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,39.28703231292517
FULL,256,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,40.8930032027593
FULL,128,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,45.56845238095238
FULL,64,1522,256,JunHowie/Qwen3-8B-GPTQ-Int8,50.79039005783192
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,55.0
FULL,8,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,55.0
FULL,512,1822,256,JunHowie/Qwen3-8B-GPTQ-Int8,45.983561154292865
FULL,256,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,48.16363665681584
FULL,256,1822,256,JunHowie/Qwen3-8B-GPTQ-Int8,49.0
FULL,128,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,52.65391156462585
FULL,64,1807,256,JunHowie/Qwen3-8B-GPTQ-Int8,59.39432367149758
FULL,64,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,59.0
FULL,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8,64.9814814814815
FULL,8,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8,65.0
FULL,512,2122,256,JunHowie/Qwen3-8B-GPTQ-Int8,50.916972374036085
FULL,256,2115,256,JunHowie/Qwen3-8B-GPTQ-Int8,52.78310924369748
FULL,128,2107,256,JunHowie/Qwen3-8B-GPTQ-Int8,59.0
FULL,128,2115,256,JunHowie/Qwen3-8B-GPTQ-Int8,59.725806451612904
FULL,64,2122,256,JunHowie/Qwen3-8B-GPTQ-Int8,64.44080338266384
FULL,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8,70.0
FULL,8,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8,70.0
FULL,512,2400,256,JunHowie/Qwen3-8B-GPTQ-Int8,53.47857142857143
FULL,512,2392,256,JunHowie/Qwen3-8B-GPTQ-Int8,54.51669071669072
FULL,256,2392,256,JunHowie/Qwen3-8B-GPTQ-Int8,56.70392992424242
FULL,128,2385,256,JunHowie/Qwen3-8B-GPTQ-Int8,62.83196359137505
FULL,64,2415,256,JunHowie/Qwen3-8B-GPTQ-Int8,66.96938775510205
FULL,16,2422,256,JunHowie/Qwen3-8B-GPTQ-Int8,72.0
FULL,8,2422,256,JunHowie/Qwen3-8B-GPTQ-Int8,72.0
FULL,512,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,8.615964802011314
FULL,256,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,9.1301652892562
FULL,128,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,9.962256493506494
FULL,64,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,10.934989429175475
FULL,16,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,14.0
FULL,8,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,15.0
FULL,512,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,16.09437963944857
FULL,256,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,16.927464008859356
FULL,128,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,17.15753938484621
FULL,64,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,19.572916666666664
FULL,16,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,24.78962962962963
FULL,8,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,25.0
FULL,512,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,20.821056596666352
FULL,256,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,21.81488997113997
FULL,128,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,22.847619047619048
FULL,128,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,23.410238095238096
FULL,64,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,25.466766509770363
FULL,16,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,29.505982905982904
FULL,8,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,29.04040404040404
FULL,8,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,29.144017094017094
FULL,512,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,27.376639520507446
FULL,256,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,28.527283474365355
FULL,128,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,29.682842025699166
FULL,64,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,33.23637258520979
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,36.0
FULL,8,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,35.08385093167701
FULL,512,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,33.64797237985732
FULL,256,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,35.405205234979185
FULL,128,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,37.44384236453202
FULL,64,1522,256,JunHowie/Qwen3-8B-GPTQ-Int4,40.98483316481294
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,44.0
FULL,8,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,43.256136528685545
FULL,512,1830,256,JunHowie/Qwen3-8B-GPTQ-Int4,39.37646782729885
FULL,256,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,40.678108166343456
FULL,128,1815,256,JunHowie/Qwen3-8B-GPTQ-Int4,43.12139423076923
FULL,128,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,44.05769230769231
FULL,64,1807,256,JunHowie/Qwen3-8B-GPTQ-Int4,47.54848484848485
FULL,16,1815,256,JunHowie/Qwen3-8B-GPTQ-Int4,51.0
FULL,16,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,51.972972972972975
FULL,8,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,51.0
FULL,512,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,42.0
FULL,512,2130,256,JunHowie/Qwen3-8B-GPTQ-Int4,43.49442977190876
FULL,256,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,45.657413151364764
FULL,128,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,46.87391304347826
FULL,64,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,53.27513227513228
FULL,16,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,57.0
FULL,8,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,56.0
FULL,8,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,56.0
FULL,512,2415,256,JunHowie/Qwen3-8B-GPTQ-Int4,46.72389893559249
FULL,256,2407,256,JunHowie/Qwen3-8B-GPTQ-Int4,48.73624146573329
FULL,128,2392,256,JunHowie/Qwen3-8B-GPTQ-Int4,50.0
FULL,128,2400,256,JunHowie/Qwen3-8B-GPTQ-Int4,51.310344827586206
FULL,64,2407,256,JunHowie/Qwen3-8B-GPTQ-Int4,57.134453781512605
FULL,16,2415,256,JunHowie/Qwen3-8B-GPTQ-Int4,60.0
FULL,8,2422,256,JunHowie/Qwen3-8B-GPTQ-Int4,59.0
