cudagraph_mode,batch_size,sm_clock,input_len,model_name,throughput_tokens_per_sec
FULL,16,2130,256,Qwen/Qwen3-8B,1396.017687199401
FULL,8,2130,256,Qwen/Qwen3-8B,723.1984236370591
FULL,512,2355,256,Qwen/Qwen3-8B,13253.033816578314
FULL,256,2370,256,Qwen/Qwen3-8B,11494.273852680702
FULL,128,2422,256,Qwen/Qwen3-8B,8189.879953026793
FULL,64,2422,256,Qwen/Qwen3-8B,4761.180150477639
FULL,16,2422,256,Qwen/Qwen3-8B,1432.0531657104302
FULL,8,2422,256,Qwen/Qwen3-8B,738.75956796246
FULL,512,330,256,nvidia/Qwen3-8B-NVFP4,4807.720777268495
FULL,256,330,256,nvidia/Qwen3-8B-NVFP4,3850.4475476793696
FULL,128,330,256,nvidia/Qwen3-8B-NVFP4,2636.989711432542
FULL,64,330,256,nvidia/Qwen3-8B-NVFP4,1545.3175090912603
FULL,16,330,256,nvidia/Qwen3-8B-NVFP4,414.34141979623007
FULL,8,330,256,nvidia/Qwen3-8B-NVFP4,213.22923508564554
FULL,512,630,256,nvidia/Qwen3-8B-NVFP4,8695.313593800613
FULL,256,630,256,nvidia/Qwen3-8B-NVFP4,6935.922989236016
FULL,128,630,256,nvidia/Qwen3-8B-NVFP4,4781.282114466419
FULL,64,630,256,nvidia/Qwen3-8B-NVFP4,2714.574798874685
FULL,16,630,256,nvidia/Qwen3-8B-NVFP4,710.6164785945587
FULL,8,630,256,nvidia/Qwen3-8B-NVFP4,363.04429932810393
FULL,512,930,256,nvidia/Qwen3-8B-NVFP4,11022.577266580241
FULL,256,930,256,nvidia/Qwen3-8B-NVFP4,8747.462577767876
FULL,128,930,256,nvidia/Qwen3-8B-NVFP4,6067.097423724952
FULL,64,930,256,nvidia/Qwen3-8B-NVFP4,3449.79325741828
FULL,16,930,256,nvidia/Qwen3-8B-NVFP4,907.6493772066549
FULL,8,930,256,nvidia/Qwen3-8B-NVFP4,453.71363553902273
FULL,512,1230,256,nvidia/Qwen3-8B-NVFP4,13145.972213596591
FULL,256,1230,256,nvidia/Qwen3-8B-NVFP4,10769.585770429423
FULL,128,1230,256,nvidia/Qwen3-8B-NVFP4,7531.927559022793
