cudagraph_mode,batch_size,sm_clock,input_len,model_name,total_energy_based_avg_power_W
FULL,128,1230,256,nvidia/Qwen3-8B-FP8,218.86324454299535
FULL,64,1230,256,nvidia/Qwen3-8B-FP8,194.85200311937814
FULL,16,1230,256,nvidia/Qwen3-8B-FP8,171.743576465352
FULL,8,1230,256,nvidia/Qwen3-8B-FP8,169.29189579863623
FULL,512,1530,256,nvidia/Qwen3-8B-FP8,272.46231012397277
FULL,256,1515,256,nvidia/Qwen3-8B-FP8,272.65535488763237
FULL,128,1522,256,nvidia/Qwen3-8B-FP8,278.75206271814716
FULL,64,1530,256,nvidia/Qwen3-8B-FP8,245.05730135256815
FULL,16,1530,256,nvidia/Qwen3-8B-FP8,210.8765981522425
FULL,8,1530,256,nvidia/Qwen3-8B-FP8,205.6558201523877
FULL,512,1815,256,nvidia/Qwen3-8B-FP8,331.06370774898204
FULL,256,1792,256,nvidia/Qwen3-8B-FP8,329.34981328677344
FULL,128,1807,256,nvidia/Qwen3-8B-FP8,305.63124738390667
FULL,64,1830,256,nvidia/Qwen3-8B-FP8,285.52438549865155
FULL,16,1830,256,nvidia/Qwen3-8B-FP8,249.81856065264566
FULL,8,1830,256,nvidia/Qwen3-8B-FP8,242.1246915747502
FULL,512,2092,256,nvidia/Qwen3-8B-FP8,390.5797863768307
FULL,256,2070,256,nvidia/Qwen3-8B-FP8,387.63393822607924
FULL,128,2115,256,nvidia/Qwen3-8B-FP8,361.5535446053465
FULL,64,2130,256,nvidia/Qwen3-8B-FP8,307.43409113723266
FULL,16,2130,256,nvidia/Qwen3-8B-FP8,279.98258611834973
FULL,8,2130,256,nvidia/Qwen3-8B-FP8,285.4692782655828
FULL,512,2370,256,nvidia/Qwen3-8B-FP8,488.0083664723298
FULL,512,2362,256,nvidia/Qwen3-8B-FP8,489.132073948087
FULL,256,2362,256,nvidia/Qwen3-8B-FP8,492.86040212097953
FULL,256,2370,256,nvidia/Qwen3-8B-FP8,488.95253905059343
FULL,128,2415,256,nvidia/Qwen3-8B-FP8,451.30119330741917
FULL,64,2422,256,nvidia/Qwen3-8B-FP8,376.98433305686945
FULL,16,2422,256,nvidia/Qwen3-8B-FP8,324.3616756212688
FULL,8,2422,256,nvidia/Qwen3-8B-FP8,312.5279212781932
FULL,512,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,101.87615532724212
FULL,256,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,100.46061488529399
FULL,128,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,101.28587408209803
FULL,64,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,102.42816543356683
FULL,16,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,109.7659416763316
FULL,8,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,108.09130269443456
FULL,512,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,143.9523610109894
FULL,256,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,141.64982333663954
FULL,128,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,140.95437081372168
FULL,64,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,141.66297985631226
FULL,16,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,137.17291597391696
FULL,8,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,132.72306774097285
FULL,512,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,172.6379094500934
FULL,256,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,168.83595756625172
