batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J
16,330,256,Qwen/Qwen3-8B,263,1168211,4320,9.6112,270,122.19972916666666,1174.4860369666667
16,330,256,Qwen/Qwen3-8B,264,1167587,4320,9.6171,270,121.66768085106384,1170.0902535127661
16,330,256,Qwen/Qwen3-8B,265,1168221,4320,9.6082,270,121.74765957446809,1169.7758627234043
16,330,256,Qwen/Qwen3-8B,266,1168048,4320,9.6142,270,121.7377659574468,1170.4112294680851
16,330,256,Qwen/Qwen3-8B,267,1167073,4320,9.6152,270,121.74863829787235,1170.6375069617022
16,330,256,Qwen/Qwen3-8B,268,1167006,4320,9.6157,270,121.77191666666666,1170.9222190916666
16,330,256,Qwen/Qwen3-8B,269,1167584,4320,9.6067,270,121.98638297872338,1171.886585361702
16,330,256,Qwen/Qwen3-8B,270,1167345,4320,9.6049,270,121.505914893617,1167.052161961702
16,330,256,Qwen/Qwen3-8B,271,1166257,4320,9.6184,270,121.29261702127661,1166.640907557447
16,330,256,Qwen/Qwen3-8B,272,1165436,4320,9.6247,270,121.42002127659575,1168.631278780851
16,330,256,Qwen/Qwen3-8B,273,1164925,4320,9.6302,270,121.36702127659572,1168.788688297872
16,330,256,Qwen/Qwen3-8B,274,1164646,4320,9.6301,270,121.44817021276599,1169.5580239659578
16,330,256,Qwen/Qwen3-8B,275,1176874,4320,9.6275,270,121.48727659574469,1169.6187554255318
16,330,256,Qwen/Qwen3-8B,276,1176554,4320,9.6295,270,121.2750425531915,1167.8180222659576
16,330,256,Qwen/Qwen3-8B,277,1176299,4320,9.6326,270,121.46297916666667,1170.0042931208334
16,330,256,Qwen/Qwen3-8B,278,1176862,4320,9.6242,270,121.20789361702126,1166.529009748936
16,330,256,Qwen/Qwen3-8B,279,1175802,4320,9.6315,270,121.2804255319149,1168.1124185106385
16,330,256,Qwen/Qwen3-8B,280,1164523,4320,9.6258,270,121.50463829787236,1169.5793473276597
16,330,256,Qwen/Qwen3-8B,281,1163783,4320,9.6306,270,121.53485106382979,1170.453536655319
16,330,256,Qwen/Qwen3-8B,282,1164309,4320,9.6206,270,121.53465957446805,1169.2363459021274
16,330,256,Qwen/Qwen3-8B,283,1164863,4320,9.614,270,121.50776595744682,1168.175661914894
16,330,256,Qwen/Qwen3-8B,284,1177370,4320,9.6105,270,121.37304255319145,1166.4556254574466
16,330,256,Qwen/Qwen3-8B,285,1176160,4320,9.6185,270,121.40197872340424,1167.7049323510637
16,330,256,Qwen/Qwen3-8B,286,1176204,4320,9.6202,270,121.29517021276598,1166.8837964808513
16,330,256,Qwen/Qwen3-8B,287,1175813,4320,9.6268,270,121.33363829787235,1168.0546691659574
16,330,256,Qwen/Qwen3-8B,288,1176145,4320,9.6211,270,121.32217021276597,1167.2527318340426
16,330,256,Qwen/Qwen3-8B,289,1175636,4320,9.6256,270,121.29146808510637,1167.5031552
16,330,256,Qwen/Qwen3-8B,290,1176078,4320,9.6252,270,121.40395744680853,1168.5373712170215
16,330,256,Qwen/Qwen3-8B,291,1175649,4320,9.6236,270,121.34910638297875,1167.8152601872341
16,330,256,Qwen/Qwen3-8B,292,1175645,4320,9.6239,270,121.19974468085104,1166.4142228340424
