model_name,sm_clock,curr_batch_size,curr_throughput,prev_batch_size,prev_throughput,abs_increase,pct_increase
nvidia/Qwen3-8B-FP8,630,16,994.6842884904704,8.0,535.7334563358651,458.95083215460534,85.66775636780042
nvidia/Qwen3-8B-FP8,630,64,3619.5882840188706,16.0,994.6842884904704,2624.9039955284,263.89317956473866
nvidia/Qwen3-8B-FP8,630,128,4741.133877056256,64.0,3619.5882840188706,1121.5455930373855,30.985446548968287
nvidia/Qwen3-8B-FP8,630,256,5805.162167633393,128.0,4741.133877056256,1064.0282905771373,22.442485662054047
nvidia/Qwen3-8B-FP8,630,512,6232.033294816687,256.0,5805.162167633393,426.87112718329354,7.353302368765992
nvidia/Qwen3-8B-FP8,922,16,1149.5801533418187,8.0,612.8458638127258,536.7342895290928,87.5806334385425
nvidia/Qwen3-8B-FP8,922,64,4175.033614832536,16.0,1149.5801533418187,3025.453461490717,263.178992147329
nvidia/Qwen3-8B-FP8,922,256,7543.469431722803,64.0,4175.033614832536,3368.4358168902672,80.68044781539749
nvidia/Qwen3-8B-FP8,930,16,1149.64571253638,8.0,613.0055236048554,536.6401889315246,87.54247201162968
nvidia/Qwen3-8B-FP8,930,64,4172.3032546747145,16.0,1149.64571253638,3022.6575421383345,262.92078587147205
nvidia/Qwen3-8B-FP8,930,512,8208.89968791818,64.0,4172.3032546747145,4036.596433243465,96.74743629243149
nvidia/Qwen3-8B-FP8,1230,16,1370.6405468741582,8.0,727.1009145075317,643.5396323666265,88.50760871377784
nvidia/Qwen3-8B-FP8,1230,64,4919.277889636589,16.0,1370.6405468741582,3548.6373427624308,258.903572556302
nvidia/Qwen3-8B-FP8,1230,128,7622.489281157955,64.0,4919.277889636589,2703.211391521366,54.9513862027637
nvidia/Qwen3-8B-FP8,1230,256,9598.258506601425,128.0,7622.489281157955,1975.7692254434705,25.920262430901385
nvidia/Qwen3-8B-FP8,1230,512,10409.14887733057,256.0,9598.258506601425,810.8903707291447,8.448307265025589
nvidia/Qwen3-8B-FP8,1530,16,1672.158777982517,8.0,885.4257355714948,786.7330424110222,88.85364529225347
nvidia/Qwen3-8B-FP8,1530,64,6064.802783972991,16.0,1672.158777982517,4392.644005990474,262.69299685106824
nvidia/Qwen3-8B-FP8,1530,512,12822.112571748034,64.0,6064.802783972991,6757.309787775042,111.41845874415057
nvidia/Qwen3-8B-FP8,1830,16,1929.1519415897599,8.0,1017.2349760326719,911.916965557088,89.64663888314816
nvidia/Qwen3-8B-FP8,1830,64,6958.380791789802,16.0,1929.1519415897599,5029.228850200042,260.69635790613756
nvidia/Qwen3-8B-FP8,2130,16,2053.625173029884,8.0,1077.783630335406,975.841542694478,90.54150714747784
nvidia/Qwen3-8B-FP8,2130,64,7345.722487334998,16.0,2053.625173029884,5292.097314305114,257.6953858866681
nvidia/Qwen3-8B-FP8,2422,16,2135.029950402786,8.0,1118.7565599220284,1016.2733904807578,90.83954694769226
