sm_clock,kv_group,kv_cache_lens,graph_mode,batch_size,avg_power,avg_total_energy_delta,avg_print_index,points
1230,1024,1040,all,16,202.6972142857143,545004.0,20.5,14
1230,1024,1040,mani,1,196.86292307692307,471135.0,18.0,13
1230,1024,1040,mani,2,190.17007692307695,473969.0,19.0,13
1230,1024,1040,mani,3,193.2780769230769,462755.0,19.0,13
1230,1024,1040,mani,4,193.77123076923078,482808.0,19.0,13
1230,1024,1040,mani,5,194.62284615384613,485332.0,19.0,13
1230,1024,1040,mani,6,194.8656923076923,486123.0,19.0,13
1230,1024,1040,mani,7,196.4033076923077,489988.0,19.0,13
1230,1024,1040,mani,8,197.64078571428573,512311.0,19.5,14
1230,1024,1040,mani,9,198.26657142857144,514399.0,19.5,14
1230,1024,1040,mani,10,199.37884615384615,516640.0,19.0,13
1230,1024,1040,mani,11,199.57407142857141,517504.0,19.5,14
1230,1024,1040,mani,12,200.5743571428571,539907.0,19.5,14
1230,1024,1040,mani,13,201.3432857142857,522525.0,20.5,14
1230,1024,1040,mani,14,202.03028571428572,544113.0,20.5,14
1230,1024,1040,mani,15,203.1539285714286,566972.0,19.5,14
1230,1024,1040,mani,16,203.9012857142857,569551.0,20.5,14
1230,1024,1040,seg,1,197.72084615384617,472655.0,18.0,13
1230,1024,1040,seg,2,190.90592307692307,475832.0,18.0,13
1230,1024,1040,seg,3,194.105,465215.0,18.0,13
1230,1024,1040,seg,4,194.8086923076923,485688.0,19.0,13
1230,1024,1040,seg,5,197.24738461538462,492306.0,19.0,13
1230,1024,1040,seg,6,197.08746153846155,510948.0,19.0,13
1230,1024,1040,seg,7,197.89876923076923,513128.0,19.0,13
1230,1024,1040,seg,8,198.74607692307694,514480.0,19.0,13
1230,1024,1040,seg,9,202.74128571428574,525298.0,19.5,14
1230,1024,1040,seg,10,203.0315,526576.0,19.5,14
1230,1024,1040,seg,11,202.7737857142857,525813.0,20.5,14
1230,1024,1040,seg,12,203.29614285714288,547125.0,20.5,14
1230,1024,1040,seg,13,203.46942857142858,547557.0,20.5,14
1230,1024,1040,seg,14,203.67592857142856,548785.0,19.5,14
1230,1024,1040,seg,15,204.2972142857143,549735.0,20.5,14
1230,1024,1040,seg,16,204.91735714285713,572724.0,20.5,14
1230,1024,1041,all,1,196.8770769230769,471050.0,19.0,13
1230,1024,1041,all,2,190.17530769230768,474344.0,18.0,13
1230,1024,1041,all,3,191.1850769230769,495334.0,18.0,13
1230,1024,1041,all,4,193.9693846153846,483178.0,18.0,13
1230,1024,1041,all,5,193.74276923076923,501865.0,19.0,13
1230,1024,1041,all,6,195.0720769230769,504994.0,19.0,13
1230,1024,1041,all,7,196.38753846153847,489756.0,19.0,13
1230,1024,1041,all,8,197.6926923076923,512244.0,19.0,13
1230,1024,1041,all,9,198.99553846153847,515392.0,19.0,13
1230,1024,1041,all,10,198.72223076923078,534661.0,19.0,13
1230,1024,1041,all,11,199.39885714285714,517112.0,19.5,14
1230,1024,1041,all,12,200.50635714285713,540070.0,19.5,14
1230,1024,1041,all,13,200.397,539338.0,20.5,14
1230,1024,1041,all,14,200.99092857142858,541114.0,20.5,14
1230,1024,1041,all,15,203.17335714285716,566586.0,19.5,14
1230,1024,1041,all,16,202.50385714285716,565530.0,20.5,14
1230,1024,1041,mani,1,196.77715384615385,470934.0,18.0,13
1230,1024,1041,mani,2,190.2753076923077,473930.0,18.0,13
1230,1024,1041,mani,3,193.38292307692308,482329.0,18.0,13
1230,1024,1041,mani,4,193.73953846153847,482748.0,18.0,13
1230,1024,1041,mani,5,194.607,484899.0,19.0,13
1230,1024,1041,mani,6,194.9399230769231,485998.0,19.0,13
1230,1024,1041,mani,7,196.4823076923077,509614.0,19.0,13
1230,1024,1041,mani,8,197.8019230769231,492773.0,19.0,13
1230,1024,1041,mani,9,198.05464285714285,514149.0,19.5,14
1230,1024,1041,mani,10,199.42692857142856,516415.0,19.5,14
1230,1024,1041,mani,11,199.58578571428572,517504.0,19.5,14
1230,1024,1041,mani,12,200.5555,520021.0,19.5,14
1230,1024,1041,mani,13,201.3477142857143,541892.0,19.5,14
1230,1024,1041,mani,14,202.12178571428572,544269.0,19.5,14
1230,1024,1041,mani,15,203.11114285714285,546441.0,20.5,14
1230,1024,1041,mani,16,203.9737857142857,569071.0,20.5,14
1230,1024,1041,seg,1,197.76346153846154,473267.0,18.0,13
1230,1024,1041,seg,2,191.0323076923077,475942.0,18.0,13
1230,1024,1041,seg,3,194.31907692307692,484107.0,18.0,13
1230,1024,1041,seg,4,194.69215384615384,485221.0,18.0,13
1230,1024,1041,seg,5,197.27453846153847,491837.0,18.0,13
1230,1024,1041,seg,6,197.13235714285716,491706.0,19.5,14
1230,1024,1041,seg,7,198.03353846153848,512942.0,19.0,13
1230,1024,1041,seg,8,198.44792857142858,514480.0,19.5,14
1230,1024,1041,seg,9,202.59457142857144,524954.0,19.5,14
1230,1024,1041,seg,10,203.1360714285714,546990.0,19.5,14
1230,1024,1041,seg,11,202.8114285714286,526358.0,19.5,14
1230,1024,1041,seg,12,203.38514285714285,547339.0,19.5,14
1230,1024,1041,seg,13,203.49842857142858,547869.0,20.5,14
1230,1024,1041,seg,14,203.78385714285716,568730.0,20.5,14
1230,1024,1041,seg,15,204.2647857142857,570301.0,19.5,14
1230,1024,1041,seg,16,205.0144285714286,571654.0,20.5,14
1230,1024,1042,all,1,197.12846153846155,471050.0,18.0,13
1230,1024,1042,all,2,190.125,474087.0,19.0,13
1230,1024,1042,all,3,191.13376923076925,476677.0,19.0,13
1230,1024,1042,all,4,193.96846153846155,483178.0,19.0,13
1230,1024,1042,all,5,193.7959230769231,482520.0,19.0,13
1230,1024,1042,all,6,194.89546153846155,485767.0,19.0,13
1230,1024,1042,all,7,196.37271428571427,509188.0,19.5,14
1230,1024,1042,all,8,197.82607142857142,512244.0,19.5,14
1230,1024,1042,all,9,199.042,515500.0,19.5,14
1230,1024,1042,all,10,198.53407142857142,514765.0,19.5,14
1230,1024,1042,all,11,199.33385714285714,536881.0,19.5,14
1230,1024,1042,all,12,200.59235714285714,539986.0,19.5,14
1230,1024,1042,all,13,200.45671428571427,539338.0,20.5,14
1230,1024,1042,all,14,201.10685714285714,561579.0,19.5,14
1230,1024,1042,all,15,203.06592857142854,546374.0,20.5,14
1230,1024,1042,all,16,202.55357142857142,565174.0,20.5,14
1230,1024,1042,mani,1,196.78269230769232,471688.0,18.0,13
1230,1024,1042,mani,2,190.19784615384617,473969.0,18.0,13
1230,1024,1042,mani,3,193.40669230769228,482355.0,19.0,13
